sample,total_3,total_5,total_7,total_10,total_12,total_14
XAS1R1,2,2,2,3,3,3
XAS1R2,0,0,1,1,1,2
XAS2R1,2,2,2,4,4,4
XAS2R2,2,3,4,4,4,4
XAS3R1,3,3,4,4,4,4
XAS3R2,1,3,3,4,4,4
XAS4R1,2,2,2,2,2,2
XAS4R2,4,4,4,5,5,5
XBS1R1,1,1,2,2,3,3
XBS1R2,0,1,1,1,1,1
XBS2R1,2,2,2,4,4,4
XBS2R2,1,3,3,3,4,4
XBS3R1,3,3,4,4,4,4
XBS3R2,1,3,3,4,4,4
XBS4R1,2,2,2,2,2,2
XBS4R2,4,4,4,4,4,4
XCS1R1,0,0,0,0,1,1
XCS1R2,0,0,0,0,0,1
XCS2R1,0,0,1,1,1,1
XCS2R2,0,0,1,1,2,2
XCS3R1,0,1,1,1,1,2
XCS3R2,0,0,0,1,2,3
XCS4R1,0,0,0,1,1,2
XCS4R2,0,0,1,1,1,1
YAS1R1,3,4,4,4,4,4
YAS1R2,3,3,3,3,4,4
YAS2R1,3,3,4,4,5,5
YAS2R2,1,1,3,4,4,4
YAS3R1,2,4,4,5,5,5
YAS3R2,3,4,4,4,4,4
YAS4R1,0,3,3,4,4,4
YAS4R2,1,3,5,5,5,5
YBS1R1,2,3,3,3,3,3
YBS1R2,0,2,2,3,3,3
YBS2R1,1,2,2,2,2,2
YBS2R2,2,2,2,2,4,4
YBS3R1,1,1,2,4,4,4
YBS3R2,2,2,2,3,3,3
YBS4R1,2,3,3,3,3,3
YBS4R2,2,4,5,5,5,5
YCS1R1,0,0,0,1,1,2
YCS1R2,0,1,1,1,1,3
YCS2R1,0,0,0,0,2,3
YCS2R2,0,0,0,0,2,2
YCS3R1,0,1,1,1,1,3
YCS3R2,0,1,1,2,2,3
YCS4R1,0,0,0,1,3,4
YCS4R2,0,0,0,0,1,4
