exposure_time,dilution,cell_count
0.00,1/10,1128
0.00,1/10,1116
0.00,1/10,1056
0.00,1/10,968
0.00,1/10,1062
0.00,1/10,1112
0.00,1/10,1120
0.00,1/10,1156
0.00,1/10,1275
0.50,1/10,668
0.50,1/10,790
0.50,1/10,620
0.50,1/10,860
0.50,1/10,966
0.50,1/10,912
0.50,1/10,998
0.50,1/10,868
0.50,1/10,786
1.00,1/10,704
1.00,1/10,720
1.00,1/10,686
1.00,1/10,720
1.00,1/10,712
1.00,1/10,696
1.00,1/10,610
1.00,1/10,624
1.00,1/10,596
1.50,1/10,585
1.50,1/10,386
1.50,1/10,624
1.50,1/10,566
1.50,1/10,568
1.50,1/10,422
1.50,1/10,584
1.50,1/10,612
1.50,1/10,578
2.00,1/10,564
2.00,1/10,420
2.00,1/10,486
2.00,1/10,368
2.00,1/10,342
2.00,1/10,356
2.00,1/10,437
2.00,1/10,420
2.00,1/10,500
2.50,1/10,251
2.50,1/10,220
2.50,1/10,225
2.50,1/10,230
2.50,1/10,200
2.50,1/10,273
2.50,1/10,210
2.50,1/10,255
2.50,1/10,233
3.00,1/10,137
3.00,1/10,150
3.00,1/10,125
3.00,1/10,96
3.00,1/10,124
3.00,1/10,128
3.00,1/10,120
3.00,1/10,132
3.00,1/10,126
0.00,1/100,168
0.00,1/100,159
0.00,1/100,132
0.00,1/100,142
0.00,1/100,150
0.00,1/100,167
0.00,1/100,149
0.00,1/100,153
0.00,1/100,169
0.50,1/100,118
0.50,1/100,125
0.50,1/100,113
0.50,1/100,150
0.50,1/100,157
0.50,1/100,116
0.50,1/100,142
0.50,1/100,30
0.50,1/100,123
1.00,1/100,100
1.00,1/100,82
1.00,1/100,94
1.00,1/100,112
1.00,1/100,98
1.00,1/100,102
1.00,1/100,106
1.00,1/100,72
1.00,1/100,66
1.50,1/100,62
1.50,1/100,42
1.50,1/100,89
1.50,1/100,76
1.50,1/100,107
1.50,1/100,72
1.50,1/100,68
1.50,1/100,69
1.50,1/100,86
2.00,1/100,70
2.00,1/100,48
2.00,1/100,49
2.00,1/100,39
2.00,1/100,37
2.00,1/100,39
2.00,1/100,64
2.00,1/100,63
2.00,1/100,55
2.50,1/100,28
2.50,1/100,30
2.50,1/100,28
2.50,1/100,22
2.50,1/100,26
2.50,1/100,30
2.50,1/100,22
2.50,1/100,24
2.50,1/100,26
3.00,1/100,14
3.00,1/100,14
3.00,1/100,13
3.00,1/100,10
3.00,1/100,12
3.00,1/100,14
3.00,1/100,13
3.00,1/100,11
3.00,1/100,12
